brand;year;transmission;mileage;fuelType;tax;mpg;engineSize;price
merc;2019;Semi-Auto;7659;Diesel;145.0;52.3;3.0;46980
vw;2014;Manual;56716;Diesel;200.0;48.7;1.6;9498
toyota;2018;Manual;7074;Diesel;145.0;62.8;1.6;13965
ford;2017;Semi-Auto;26452;Petrol;580.0;23.5;5.0;27890
hyundi;2015;Manual;29000;Petrol;125.0;50.4;1.4;6795
skoda;2017;Semi-Auto;15000;Petrol;125.0;51.4;1.2;13400
vw;2019;Semi-Auto;1374;Diesel;145.0;46.3;2.0;24295
vw;2017;Semi-Auto;6502;Petrol;145.0;47.1;2.0;22290
vauxhall;2019;Manual;805;Petrol;145.0;42.2;1.2;16000
merc;2017;Automatic;10626;Petrol;145.0;53.3;1.6;17200
vw;2014;Manual;43198;Diesel;30.0;62.8;2.0;12000
ford;2020;Automatic;3500;Petrol;145.0;22.1;5.0;42489
skoda;2017;Manual;55115;Diesel;0.0;74.3;1.6;7450
vw;2019;Semi-Auto;6183;Diesel;145.0;50.4;2.0;23795
merc;2018;Automatic;9500;Diesel;260.0;31.4;3.0;36790
bmw;2015;Automatic;22797;Diesel;160.0;49.6;3.0;19199
merc;2015;Automatic;30782;Hybrid;20.0;64.2;2.1;27000
ford;2017;Manual;45386;Diesel;160.0;48.7;2.0;17000
vw;2011;Semi-Auto;120000;Diesel;125.0;57.6;2.0;5995
merc;2015;Automatic;54965;Diesel;125.0;55.4;2.1;15599
vw;2017;Automatic;22000;Diesel;260.0;36.2;3.0;26000
vw;2018;Automatic;23371;Diesel;265.0;36.2;3.0;30995
audi;2017;Automatic;12000;Diesel;145.0;39.2;4.0;52888
merc;2014;Automatic;37986;Diesel;300.0;39.2;3.0;20499
ford;2016;Manual;28772;Diesel;30.0;64.2;1.5;9999
hyundi;2009;Manual;95000;Diesel;305.0;38.7;2.2;4495
hyundi;2017;Manual;12245;Petrol;150.0;50.4;1.4;10000
toyota;2013;Automatic;33905;Hybrid;0.0;70.6;1.8;11500
vauxhall;2018;Manual;10070;Diesel;145.0;53.3;1.5;15979
bmw;2016;Automatic;25269;Other;0.0;470.8;0.6;17100
toyota;2016;Manual;40312;Diesel;200.0;46.3;1.6;10275
ford;2016;Manual;62505;Diesel;200.0;46.3;2.0;15298
bmw;2020;Semi-Auto;101;Petrol;145.0;34.0;3.0;51402
vw;2019;Semi-Auto;3544;Diesel;260.0;29.1;2.0;69994
hyundi;2018;Manual;33610;Diesel;145.0;31.7;2.5;16459
vauxhall;2014;Manual;45400;Petrol;20.0;60.1;1.0;3595
merc;2015;Semi-Auto;30657;Diesel;200.0;39.2;2.1;23995
audi;2017;Semi-Auto;24337;Diesel;150.0;55.4;3.0;22999
hyundi;2019;Manual;14674;Diesel;145.0;31.7;2.5;18500
skoda;2020;Manual;1652;Petrol;145.0;47.9;1.5;19952
